day,truck,assigned_stream,pickup_gal_used,pickup_gal_capacity_effective,pickup_lb_used,pickup_lb_capacity_effective,extra_dumps,minutes_used_without_dumps,minutes_used_total,overtime_min,minutes_capacity_regular,minutes_capacity_with_overtime,resource_model
0,T1,Compostables,1979.88,2000.0,2375.86,5200.0,3,266.0,317.0,0.0,480.0,480.0,single_shift_truck_day
0,T2,Bottles/Cans,1245.3,1350.0,373.59,3900.0,2,336.0,370.0,0.0,480.0,480.0,single_shift_truck_day
0,T3,Waste,2493.93,2500.0,2493.93,6500.0,4,378.0,446.0,0.0,480.0,480.0,single_shift_truck_day
1,T1,Compostables,1262.07,1500.0,1514.49,3900.0,2,294.0,328.0,0.0,480.0,480.0,single_shift_truck_day
1,T2,Bottles/Cans,1657.33,1800.0,497.2,5200.0,3,420.0,471.0,0.0,480.0,480.0,single_shift_truck_day
1,T3,Waste,976.08,1000.0,976.08,2600.0,1,210.0,227.0,0.0,480.0,480.0,single_shift_truck_day
2,T1,Waste,1690.69,2000.0,1690.69,5200.0,3,308.0,359.0,0.0,480.0,480.0,single_shift_truck_day
2,T2,Compostables,986.71,1000.0,1184.05,2600.0,1,210.0,227.0,0.0,480.0,480.0,single_shift_truck_day
2,T3,Waste,482.48,500.0,482.48,1300.0,0,98.0,98.0,0.0,480.0,480.0,single_shift_truck_day
3,T1,Bottles/Cans,660.89,900.0,198.27,2600.0,1,98.0,115.0,0.0,480.0,480.0,single_shift_truck_day
3,T2,Waste,1981.93,2000.0,1981.93,5200.0,3,350.0,401.0,0.0,480.0,480.0,single_shift_truck_day
3,T3,Compostables,1492.85,1500.0,1791.43,3900.0,2,266.0,300.0,0.0,480.0,480.0,single_shift_truck_day
4,T1,Waste,781.19,1000.0,781.19,2600.0,1,154.0,171.0,0.0,480.0,480.0,single_shift_truck_day
4,T2,Waste,1441.71,1500.0,1441.71,3900.0,2,266.0,300.0,0.0,480.0,480.0,single_shift_truck_day
4,T3,Compostables,936.49,1000.0,1123.79,2600.0,1,210.0,227.0,0.0,480.0,480.0,single_shift_truck_day
5,T1,Bottles/Cans,448.77,450.0,134.63,1300.0,0,70.0,70.0,0.0,480.0,480.0,single_shift_truck_day
5,T2,Compostables,1515.27,2000.0,1818.33,5200.0,3,294.0,345.0,0.0,480.0,480.0,single_shift_truck_day
5,T3,Waste,889.47,1000.0,889.47,2600.0,1,182.0,199.0,0.0,480.0,480.0,single_shift_truck_day
6,T1,Compostables,51.93,500.0,62.32,1300.0,0,28.0,28.0,0.0,480.0,480.0,single_shift_truck_day
6,T2,Bottles/Cans,141.87,450.0,42.56,1300.0,0,42.0,42.0,0.0,480.0,480.0,single_shift_truck_day
6,T3,Waste,297.07,500.0,297.07,1300.0,0,70.0,70.0,0.0,480.0,480.0,single_shift_truck_day
