Serial,Stop_ID,Description,service_walk_min,Access_Lat,Access_Lng
1503614,1503614,W08 University Drive,0.0,37.872760765013,-122.26242743432522
1503642,1503642,E14 Physics,0.0,37.87269909945424,-122.25787103176118
1503651,1503651,E14 Physics,0.0,37.87269698218092,-122.25786969065668
1514001,1514001,U16 Durant Hall,0.0,37.87141963377396,-122.26046757783944
1514003,1514003,W11 Moffitt Library @ Press,0.0,37.87282221217865,-122.26011595483082
1514004,1514004,Bechtel East,0.0,37.87392909537397,-122.257781243598
1514021,1514021,001 Berkeley Way (Offsite),0.0,37.87364339729022,-122.26740393787624
1514026,1514026,W11 Moffitt Library @ Press,0.0,37.87282512342449,-122.2601156195547
1514027,1514027,Bechtel East,0.0,37.87392909537397,-122.257781243598
1514031,1514031,W13 Recreational Sport Facility (LF),0.0,37.8685232992564,-122.2623679692983
1515674,1515674,W02 Crescent,0.0,37.87181499856153,-122.2651921789594
1515716,1515716,E16 Campanile,0.0,37.87225129479221,-122.2578240931034
1515722,1515722,U09 MLK Ramp,0.0,37.86935320236131,-122.26002149283886
1515723,1515723,E13 Stanley Hall,0.0,37.87386120866613,-122.25652791559698
1515725,1515725,U27 Anthony Hall,0.0,37.87054315438076,-122.258243188262
1515726,1515726,E15 Bancroft Library,0.0,37.87239130020655,-122.25857980549335
1515738,1515738,U05 Cesar Chavez,0.0,37.86956229229744,-122.26034469902515
1515743,1515743,E02 North Entrance Memorial Glade,0.0,37.87326599719681,-122.25996918976308
1515750,1515750,E02 North Entrance Memorial Glade,0.0,37.87326599719681,-122.2599745541811
1515761,1515761,E05 V&A Cafe/Etcheverry,0.0,37.87561717357402,-122.25893653929232
1515765,1515765,E02 North Entrance Memorial Glade,0.0,37.87326917308224,-122.25997455418108
1515766,1515766,E07 Sutardja Dai Hall/Yali's 2,0.0,37.87457206853039,-122.25877560675144
1515776,1515776,E06 Sutardja Dali Hall/Yali's 1,0.0,37.87487324238327,-122.25890267640352
1515788,1515788,E03 University Library,0.0,37.8728593933986,-122.2593042252641
1516530,1516530,U33 Spieker Plaza,0.0,37.868930785946006,-122.26162377744916
1516554,1516554,W16 VLSB Northside,0.0,37.87215525333147,-122.261952075138
1520912,1520912,E30 Tan Hall North Side,0.0,37.87330333333333,-122.25646666666668
1520915,1520915,Hearst Gym Annex,0.0,37.86931292078011,-122.2578713914926
2503763,2503763,U03 Grade Street,0.0,37.869921184525936,-122.2608046978712
2503767,2503767,U26 A&E Sproul,0.0,37.87007575114183,-122.2589921951294
1503621,1503621,E19 South Path Drive,0.0,37.87219042278996,-122.25643437355758
1515668,1515668,E25 Cronk Gate,0.0,37.871718001410365,-122.25300919264556
1515739,1515739,U17 Dwinelle Plaza Entry,0.0,37.87077553155793,-122.2600620612502
1515745,1515745,W12 VLSB/Campanile Way,0.0,37.87114606312629,-122.26191613823175
1515773,1515773,U07 Cal Book Store,0.0,37.86891517025517,-122.25990682840347
1516556,1516556,U28 Wheeler,0.0,37.87093601807361,-122.2588881653419
1515700,1515700,E06 Sutardja Dali Hall/Yali's 1,0.0,37.87487112517242,-122.25890066474676
2503768,2503768,W06 West Circle,0.0,37.87207106058734,-122.2633259743452
1503633,1503633,W18 Campanile Way West Entrance,0.0,37.87077314956328,-122.2632324323058
1515710,1515710,E29 Campanile East,0.0,37.87178972496331,-122.2583320364356
1516548,1516548,W17 Mulford Hall,0.0,37.872933057781424,-122.26444412022828
