node_id,node_type,Stop_ID,Serial,label,Lat,Lng,service_walk_min,graph_node,snap_dist_m
0,depot,,,DEPOT,37.8719,-122.2585,0.0,342746635,25.698459646171816
1,stop,1503614,,W08 University Drive,37.872760765013,-122.26242743432522,0.0,260908778,5.917704136005072
2,stop,1503621,,E19 South Path Drive,37.87219042278996,-122.25643437355758,0.0,52991825,12.563494436376548
3,stop,1503633,,W18 Campanile Way West Entrance,37.87077314956328,-122.2632324323058,0.0,3207782881,11.29758521767467
4,stop,1503642,,E14 Physics,37.87269909945424,-122.25787103176118,0.0,4301522666,19.784108365379232
5,stop,1503651,,E14 Physics,37.87269698218092,-122.25786969065668,0.0,4301522666,20.008983448823187
6,stop,1514001,,U16 Durant Hall,37.87141963377396,-122.26046757783944,0.0,3206193529,116.5616434670136
7,stop,1514003,,W11 Moffitt Library @ Press,37.87282221217865,-122.26011595483082,0.0,2438953067,63.44571284805017
8,stop,1514004,,Bechtel East,37.87392909537397,-122.257781243598,0.0,52980653,29.406312725597594
9,stop,1514021,,001 Berkeley Way (Offsite),37.87364339729022,-122.26740393787624,0.0,53055194,41.49597784772973
10,stop,1514026,,W11 Moffitt Library @ Press,37.87282512342449,-122.2601156195547,0.0,2438953067,63.2464466126674
11,stop,1514027,,Bechtel East,37.87392909537397,-122.257781243598,0.0,52980653,29.406312725597594
12,stop,1514031,,W13 Recreational Sport Facility (LF),37.8685232992564,-122.2623679692983,0.0,2308944862,23.43548679485059
13,stop,1515668,,E25 Cronk Gate,37.871718001410365,-122.25300919264556,0.0,53011953,15.802946042561581
14,stop,1515674,,W02 Crescent,37.87181499856153,-122.2651921789594,0.0,53120081,12.728908310256783
15,stop,1515700,,E06 Sutardja Dali Hall/Yali's 1,37.87487112517242,-122.25890066474676,0.0,12753195662,31.21120026438666
16,stop,1515710,,E29 Campanile East,37.87178972496331,-122.2583320364356,0.0,342746635,6.56688720732819
17,stop,1515716,,E16 Campanile,37.87225129479221,-122.2578240931034,0.0,4301522673,42.00233231752074
18,stop,1515722,,U09 MLK Ramp,37.86935320236131,-122.26002149283886,0.0,394221609,80.63084956827622
19,stop,1515723,,E13 Stanley Hall,37.87386120866613,-122.25652791559698,0.0,8436435875,30.18102832502147
20,stop,1515725,,U27 Anthony Hall,37.87054315438076,-122.258243188262,0.0,53041110,23.522568189707755
21,stop,1515726,,E15 Bancroft Library,37.87239130020655,-122.25857980549335,0.0,53048389,41.83547128002999
22,stop,1515738,,U05 Cesar Chavez,37.86956229229744,-122.26034469902515,0.0,282579388,74.63749666678217
23,stop,1515739,,U17 Dwinelle Plaza Entry,37.87077553155793,-122.2600620612502,0.0,3206193524,87.94262711023305
24,stop,1515743,,E02 North Entrance Memorial Glade,37.87326599719681,-122.25996918976308,0.0,234653417,42.474472703994586
25,stop,1515745,,W12 VLSB/Campanile Way,37.87114606312629,-122.26191613823175,0.0,283261482,71.42960629200653
26,stop,1515750,,E02 North Entrance Memorial Glade,37.87326599719681,-122.2599745541811,0.0,234653417,42.848937894373265
27,stop,1515761,,E05 V&A Cafe/Etcheverry,37.87561717357402,-122.25893653929232,0.0,318886234,61.70359158405699
28,stop,1515765,,E02 North Entrance Memorial Glade,37.87326917308224,-122.25997455418108,0.0,234653417,42.63642821274017
29,stop,1515766,,E07 Sutardja Dai Hall/Yali's 2,37.87457206853039,-122.25877560675144,0.0,12753195662,34.08116624372321
30,stop,1515773,,U07 Cal Book Store,37.86891517025517,-122.25990682840347,0.0,12091490517,44.4295981713833
31,stop,1515776,,E06 Sutardja Dali Hall/Yali's 1,37.87487324238327,-122.25890267640352,0.0,12753195662,31.2618795596078
32,stop,1515788,,E03 University Library,37.8728593933986,-122.2593042252641,0.0,53048389,59.16847568130721
33,stop,1516530,,U33 Spieker Plaza,37.868930785946006,-122.26162377744916,0.0,53006324,58.78316951573107
34,stop,1516548,,W17 Mulford Hall,37.872933057781424,-122.26444412022828,0.0,282874033,9.328192683511322
35,stop,1516554,,W16 VLSB Northside,37.87215525333147,-122.261952075138,0.0,53034140,66.48868876033787
36,stop,1516556,,U28 Wheeler,37.87093601807361,-122.2588881653419,0.0,8451378205,38.25536713981632
37,stop,1520912,,E30 Tan Hall North Side,37.87330333333333,-122.25646666666668,0.0,260908812,14.694282779382375
38,stop,1520915,,Hearst Gym Annex,37.86931292078011,-122.2578713914926,0.0,12091490525,48.21012165561741
39,stop,2503763,,U03 Grade Street,37.869921184525936,-122.2608046978712,0.0,282579388,23.264775417486515
40,stop,2503767,,U26 A&E Sproul,37.87007575114183,-122.2589921951294,0.0,346508969,68.2452765236917
41,stop,2503768,,W06 West Circle,37.87207106058734,-122.2633259743452,0.0,2438953053,27.8004282879388
