from_node,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,0.0,4.53,2.07,10.6,1.78,1.78,12.68,3.0,2.71,9.56,3.0,2.71,13.57,5.24,6.83,4.0,0.0,1.36,14.33,3.27,13.92,0.99,13.1,12.91,2.15,12.12,2.15,4.54,2.15,4.0,13.33,4.0,0.99,14.18,6.63,3.9,0.88,2.68,11.57,13.1,15.44,5.52
1,4.53,0.0,6.04,6.08,4.33,4.33,8.15,1.53,5.26,5.79,1.53,5.26,9.04,8.8,2.3,4.23,4.53,5.87,10.55,5.82,13.99,3.53,8.57,8.39,2.38,7.58,2.38,4.05,2.38,4.23,10.62,4.23,3.53,9.65,2.09,0.63,5.39,5.22,12.39,8.57,15.51,0.99
2,2.07,6.04,0.0,12.1,2.07,2.07,14.18,4.5,1.96,11.07,4.5,1.96,12.87,3.18,8.34,5.5,2.07,1.0,12.27,1.86,11.87,2.51,14.61,14.43,3.66,13.62,3.66,6.05,3.66,5.5,11.27,5.5,2.51,12.24,8.13,5.41,1.93,1.27,9.5,14.61,13.39,7.02
3,10.6,6.08,12.1,0.0,10.39,10.39,2.07,7.6,11.34,6.64,7.6,11.34,6.82,14.88,3.9,10.29,10.6,11.95,8.32,11.9,11.77,9.61,2.51,2.31,8.46,1.51,8.46,10.12,8.46,10.29,8.41,10.29,9.61,7.43,6.0,6.71,11.47,11.29,10.17,2.51,13.29,5.09
4,1.78,4.33,2.07,10.39,0.0,0.0,12.47,2.79,1.29,9.35,2.79,1.29,13.36,4.83,6.63,3.79,1.78,3.08,13.94,1.86,13.53,0.78,12.9,12.7,1.94,11.91,1.94,4.34,1.94,3.79,12.94,3.79,0.78,13.91,6.42,3.7,2.66,1.26,11.17,12.9,15.04,5.31
5,1.78,4.33,2.07,10.39,0.0,0.0,12.47,2.79,1.29,9.35,2.79,1.29,13.36,4.83,6.63,3.79,1.78,3.08,13.94,1.86,13.53,0.78,12.9,12.7,1.94,11.91,1.94,4.34,1.94,3.79,12.94,3.79,0.78,13.91,6.42,3.7,2.66,1.26,11.17,12.9,15.04,5.31
6,12.68,8.15,14.18,2.07,12.47,12.47,0.0,9.68,13.4,8.71,9.68,13.4,8.88,16.95,5.97,12.38,12.68,14.02,10.4,13.96,13.84,11.68,0.42,0.25,10.53,0.67,10.53,12.2,10.53,12.38,10.47,12.38,11.68,9.5,8.06,8.78,13.54,13.36,12.24,0.42,15.36,7.16
7,3.0,1.53,4.5,7.6,2.79,2.79,9.68,0.0,3.72,7.01,0.0,3.72,10.57,7.27,3.83,2.7,3.0,4.34,12.09,4.28,15.52,2.0,10.1,9.93,0.85,9.12,0.85,3.03,0.85,2.7,12.16,2.7,2.0,11.18,3.63,0.9,3.87,3.7,13.61,10.1,17.04,2.52
8,2.71,5.26,1.96,11.34,1.29,1.29,13.4,3.72,0.0,10.29,3.72,0.0,14.24,4.54,7.56,4.72,2.71,2.96,13.65,0.57,13.24,1.72,13.83,13.65,2.87,12.84,2.87,5.27,2.87,4.72,12.64,4.72,1.72,13.61,7.35,4.63,3.59,1.14,10.88,13.83,14.76,6.24
9,9.56,5.79,11.07,6.64,9.35,9.35,8.71,7.01,10.29,0.0,7.01,10.29,9.61,12.8,3.48,6.93,9.56,10.91,11.12,10.86,14.55,8.57,9.14,8.95,7.42,8.15,7.42,6.19,7.42,6.93,11.2,6.93,8.57,10.23,5.71,6.11,10.43,10.25,12.96,9.14,16.07,4.81
10,3.0,1.53,4.5,7.6,2.79,2.79,9.68,0.0,3.72,7.01,0.0,3.72,10.57,7.27,3.83,2.7,3.0,4.34,12.09,4.28,15.52,2.0,10.1,9.93,0.85,9.12,0.85,3.03,0.85,2.7,12.16,2.7,2.0,11.18,3.63,0.9,3.87,3.7,13.61,10.1,17.04,2.52
11,2.71,5.26,1.96,11.34,1.29,1.29,13.4,3.72,0.0,10.29,3.72,0.0,14.24,4.54,7.56,4.72,2.71,2.96,13.65,0.57,13.24,1.72,13.83,13.65,2.87,12.84,2.87,5.27,2.87,4.72,12.64,4.72,1.72,13.61,7.35,4.63,3.59,1.14,10.88,13.83,14.76,6.24
12,13.57,9.04,12.87,6.82,13.36,13.36,8.88,10.57,14.24,9.61,10.57,14.24,0.0,9.68,6.86,13.27,13.57,13.87,1.52,13.8,4.96,12.57,9.31,9.13,11.42,8.32,11.42,13.09,11.42,13.27,1.59,13.27,12.57,0.62,8.95,9.66,14.44,13.27,3.35,9.31,6.48,8.05
13,5.24,8.8,3.18,14.88,4.83,4.83,16.95,7.27,4.54,12.8,7.27,4.54,9.68,0.0,11.1,8.27,5.24,4.18,9.09,4.12,8.69,5.27,17.37,17.19,6.42,16.39,6.42,6.61,6.42,8.27,8.09,8.27,5.27,9.06,10.9,8.17,5.11,3.59,6.32,17.37,10.21,9.79
14,6.83,2.3,8.34,3.9,6.63,6.63,5.97,3.83,7.56,3.48,3.83,7.56,6.86,11.1,0.0,6.53,6.83,8.19,8.38,8.12,11.81,5.85,6.39,6.22,4.68,5.41,4.68,6.35,4.68,6.53,8.45,6.53,5.85,7.47,2.22,2.93,7.71,7.53,10.21,6.39,13.33,1.31
15,4.0,4.23,5.5,10.29,3.79,3.79,12.38,2.7,4.72,6.93,2.7,4.72,13.27,8.27,6.53,0.0,4.0,5.34,14.77,5.28,16.96,3.0,12.8,12.61,1.85,11.81,1.85,1.92,1.85,0.0,14.85,0.0,3.0,13.88,6.32,3.6,4.86,4.68,14.59,12.8,18.48,5.22
16,0.0,4.53,2.07,10.6,1.78,1.78,12.68,3.0,2.71,9.56,3.0,2.71,13.57,5.24,6.83,4.0,0.0,1.36,14.33,3.27,13.92,0.99,13.1,12.91,2.15,12.12,2.15,4.54,2.15,4.0,13.33,4.0,0.99,14.18,6.63,3.9,0.88,2.68,11.57,13.1,15.44,5.52
17,1.36,5.87,1.0,11.95,3.08,3.08,14.02,4.34,2.96,10.91,4.34,2.96,13.87,4.18,8.19,5.34,1.36,0.0,13.28,2.87,12.87,2.34,14.46,14.26,3.49,13.46,3.49,5.89,3.49,5.34,12.28,5.34,2.34,13.24,7.97,5.24,1.22,2.27,10.51,14.46,14.39,6.86
18,14.33,10.55,12.27,8.32,13.94,13.94,10.4,12.09,13.65,11.12,12.09,13.65,1.52,9.09,8.38,14.77,14.33,13.28,0.0,13.21,4.37,14.09,10.83,10.65,12.94,9.84,12.94,14.59,12.94,14.77,1.0,14.77,14.09,0.89,10.47,11.18,14.21,12.68,2.77,10.83,5.89,9.57
19,3.27,5.82,1.86,11.9,1.86,1.86,13.96,4.28,0.57,10.86,4.28,0.57,13.8,4.12,8.12,5.28,3.27,2.87,13.21,0.0,12.81,2.29,14.39,14.21,3.44,13.4,3.44,5.37,3.44,5.28,12.21,5.28,2.29,13.18,7.91,5.19,3.81,0.7,10.45,14.39,14.33,6.8
20,13.92,13.99,11.87,11.77,13.53,13.53,13.84,15.52,13.24,14.55,15.52,13.24,4.96,8.69,11.81,16.96,13.92,12.87,4.37,12.81,0.0,13.96,14.26,14.09,15.11,13.28,15.11,15.29,15.11,16.96,3.37,16.96,13.96,4.34,13.91,14.62,13.8,12.27,2.35,14.26,1.52,13.01
21,0.99,3.53,2.51,9.61,0.78,0.78,11.68,2.0,1.72,8.57,2.0,1.72,12.57,5.27,5.85,3.0,0.99,2.34,14.09,2.29,13.96,0.0,12.12,11.92,1.15,11.12,1.15,3.55,1.15,3.0,13.36,3.0,0.0,13.2,5.63,2.9,1.86,1.68,11.6,12.12,15.48,4.52
22,13.1,8.57,14.61,2.51,12.9,12.9,0.42,10.1,13.83,9.14,10.1,13.83,9.31,17.37,6.39,12.8,13.1,14.46,10.83,14.39,14.26,12.12,0.0,0.19,10.95,1.11,10.95,12.62,10.95,12.8,10.91,12.8,12.12,9.94,8.49,9.2,13.98,13.8,12.68,0.0,15.78,7.58
23,12.91,8.39,14.43,2.31,12.7,12.7,0.25,9.93,13.65,8.95,9.93,13.65,9.13,17.19,6.22,12.61,12.91,14.26,10.65,14.21,14.09,11.92,0.19,0.0,10.77,0.92,10.77,12.43,10.77,12.61,10.72,12.61,11.92,9.75,8.31,9.02,13.79,13.61,12.48,0.19,15.61,7.41
24,2.15,2.38,3.66,8.46,1.94,1.94,10.53,0.85,2.87,7.42,0.85,2.87,11.42,6.42,4.68,1.85,2.15,3.49,12.94,3.44,15.11,1.15,10.95,10.77,0.0,9.97,0.0,2.4,0.0,1.85,13.01,1.85,1.15,12.03,4.48,1.75,3.03,2.85,12.75,10.95,16.63,3.37
25,12.12,7.58,13.62,1.51,11.91,11.91,0.67,9.12,12.84,8.15,9.12,12.84,8.32,16.39,5.41,11.81,12.12,13.46,9.84,13.4,13.28,11.12,1.11,0.92,9.97,0.0,9.97,11.64,9.97,11.81,9.91,11.81,11.12,8.94,7.5,8.21,12.98,12.8,11.68,1.11,14.8,6.6
26,2.15,2.38,3.66,8.46,1.94,1.94,10.53,0.85,2.87,7.42,0.85,2.87,11.42,6.42,4.68,1.85,2.15,3.49,12.94,3.44,15.11,1.15,10.95,10.77,0.0,9.97,0.0,2.4,0.0,1.85,13.01,1.85,1.15,12.03,4.48,1.75,3.03,2.85,12.75,10.95,16.63,3.37
27,4.54,4.05,6.05,10.12,4.34,4.34,12.2,3.03,5.27,6.19,3.03,5.27,13.09,6.61,6.35,1.92,4.54,5.89,14.59,5.37,15.29,3.55,12.62,12.43,2.4,11.64,2.4,0.0,2.4,1.92,14.68,1.92,3.55,13.7,6.15,3.42,5.42,4.83,12.94,12.62,16.81,5.04
28,2.15,2.38,3.66,8.46,1.94,1.94,10.53,0.85,2.87,7.42,0.85,2.87,11.42,6.42,4.68,1.85,2.15,3.49,12.94,3.44,15.11,1.15,10.95,10.77,0.0,9.97,0.0,2.4,0.0,1.85,13.01,1.85,1.15,12.03,4.48,1.75,3.03,2.85,12.75,10.95,16.63,3.37
29,4.0,4.23,5.5,10.29,3.79,3.79,12.38,2.7,4.72,6.93,2.7,4.72,13.27,8.27,6.53,0.0,4.0,5.34,14.77,5.28,16.96,3.0,12.8,12.61,1.85,11.81,1.85,1.92,1.85,0.0,14.85,0.0,3.0,13.88,6.32,3.6,4.86,4.68,14.59,12.8,18.48,5.22
30,13.33,10.62,11.27,8.41,12.94,12.94,10.47,12.16,12.64,11.2,12.16,12.64,1.59,8.09,8.45,14.85,13.33,12.28,1.0,12.21,3.37,13.36,10.91,10.72,13.01,9.91,13.01,14.68,13.01,14.85,0.0,14.85,13.36,0.97,10.54,11.25,13.21,11.68,1.77,10.91,4.89,9.64
31,4.0,4.23,5.5,10.29,3.79,3.79,12.38,2.7,4.72,6.93,2.7,4.72,13.27,8.27,6.53,0.0,4.0,5.34,14.77,5.28,16.96,3.0,12.8,12.61,1.85,11.81,1.85,1.92,1.85,0.0,14.85,0.0,3.0,13.88,6.32,3.6,4.86,4.68,14.59,12.8,18.48,5.22
32,0.99,3.53,2.51,9.61,0.78,0.78,11.68,2.0,1.72,8.57,2.0,1.72,12.57,5.27,5.85,3.0,0.99,2.34,14.09,2.29,13.96,0.0,12.12,11.92,1.15,11.12,1.15,3.55,1.15,3.0,13.36,3.0,0.0,13.2,5.63,2.9,1.86,1.68,11.6,12.12,15.48,4.52
33,14.18,9.65,12.24,7.43,13.91,13.91,9.5,11.18,13.61,10.23,11.18,13.61,0.62,9.06,7.47,13.88,14.18,13.24,0.89,13.18,4.34,13.2,9.94,9.75,12.03,8.94,12.03,13.7,12.03,13.88,0.97,13.88,13.2,0.0,9.57,10.28,14.18,12.65,2.74,9.94,5.86,8.67
34,6.63,2.09,8.13,6.0,6.42,6.42,8.06,3.63,7.35,5.71,3.63,7.35,8.95,10.9,2.22,6.32,6.63,7.97,10.47,7.91,13.91,5.63,8.49,8.31,4.48,7.5,4.48,6.15,4.48,6.32,10.54,6.32,5.63,9.57,0.0,2.72,7.5,7.32,12.31,8.49,15.43,1.11
35,3.9,0.63,5.41,6.71,3.7,3.7,8.78,0.9,4.63,6.11,0.9,4.63,9.66,8.17,2.93,3.6,3.9,5.24,11.18,5.19,14.62,2.9,9.2,9.02,1.75,8.21,1.75,3.42,1.75,3.6,11.25,3.6,2.9,10.28,2.72,0.0,4.76,4.59,13.02,9.2,16.14,1.62
36,0.88,5.39,1.93,11.47,2.66,2.66,13.54,3.87,3.59,10.43,3.87,3.59,14.44,5.11,7.71,4.86,0.88,1.22,14.21,3.81,13.8,1.86,13.98,13.79,3.03,12.98,3.03,5.42,3.03,4.86,13.21,4.86,1.86,14.18,7.5,4.76,0.0,3.2,11.44,13.98,15.32,6.38
37,2.68,5.22,1.27,11.29,1.26,1.26,13.36,3.7,1.14,10.25,3.7,1.14,13.27,3.59,7.53,4.68,2.68,2.27,12.68,0.7,12.27,1.68,13.8,13.61,2.85,12.8,2.85,4.83,2.85,4.68,11.68,4.68,1.68,12.65,7.32,4.59,3.2,0.0,9.91,13.8,13.79,6.2
38,11.57,12.39,9.5,10.17,11.17,11.17,12.24,13.61,10.88,12.96,13.61,10.88,3.35,6.32,10.21,14.59,11.57,10.51,2.77,10.45,2.35,11.6,12.68,12.48,12.75,11.68,12.75,12.94,12.75,14.59,1.77,14.59,11.6,2.74,12.31,13.02,11.44,9.91,0.0,12.68,3.87,11.4
39,13.1,8.57,14.61,2.51,12.9,12.9,0.42,10.1,13.83,9.14,10.1,13.83,9.31,17.37,6.39,12.8,13.1,14.46,10.83,14.39,14.26,12.12,0.0,0.19,10.95,1.11,10.95,12.62,10.95,12.8,10.91,12.8,12.12,9.94,8.49,9.2,13.98,13.8,12.68,0.0,15.78,7.58
40,15.44,15.51,13.39,13.29,15.04,15.04,15.36,17.04,14.76,16.07,17.04,14.76,6.48,10.21,13.33,18.48,15.44,14.39,5.89,14.33,1.52,15.48,15.78,15.61,16.63,14.8,16.63,16.81,16.63,18.48,4.89,18.48,15.48,5.86,15.43,16.14,15.32,13.79,3.87,15.78,0.0,14.52
41,5.52,0.99,7.02,5.09,5.31,5.31,7.16,2.52,6.24,4.81,2.52,6.24,8.05,9.79,1.31,5.22,5.52,6.86,9.57,6.8,13.01,4.52,7.58,7.41,3.37,6.6,3.37,5.04,3.37,5.22,9.64,5.22,4.52,8.67,1.11,1.62,6.38,6.2,11.4,7.58,14.52,0.0
